_id,location,name_pollutant_substance,measurement_results,period,maximum_permissible_concentration,deviation
1,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,8.25,2011-03-31T00:00:00,5,3.25
2,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.302,2011-03-31T00:00:00,0.4,-0.1
3,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.204,2011-03-31T00:00:00,0.2,0.004
4,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.054,2011-03-31T00:00:00,0.5,-0.45
5,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,8.68,2011-06-30T00:00:00,5,3.68
6,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.208,2011-06-30T00:00:00,0.4,-0.19
7,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.181,2011-06-30T00:00:00,0.2,-0.02
8,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.061,2011-06-30T00:00:00,0.5,-0.44
9,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,8.39,2011-09-30T00:00:00,5,3.39
10,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.267,2011-09-30T00:00:00,0.4,-0.13
11,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.175,2011-09-30T00:00:00,0.2,-0.03
12,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.052,2011-09-30T00:00:00,0.5,-0.45
13,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,9.23,2011-12-31T00:00:00,5,4.23
14,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.212,2011-12-31T00:00:00,0.4,-0.19
15,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.182,2011-12-31T00:00:00,0.2,-0.02
16,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.047,2011-12-31T00:00:00,0.5,-0.45
17,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,9.44,2012-03-31T00:00:00,5,4.44
18,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.214,2012-03-31T00:00:00,0.4,-0.19
19,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.199,2012-03-31T00:00:00,0.2,-0.001
20,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.056,2012-03-31T00:00:00,0.5,-0.44
21,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,9.2,2012-06-30T00:00:00,5,4.2
22,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.177,2012-06-30T00:00:00,0.4,-0.22
23,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.195,2012-06-30T00:00:00,0.2,-0.01
24,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.051,2012-06-30T00:00:00,0.5,-0.45
25,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,8.08,2012-09-30T00:00:00,5,3.08
26,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.19,2012-09-30T00:00:00,0.4,-0.21
27,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.208,2012-09-30T00:00:00,0.2,0.01
28,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.094,2012-09-30T00:00:00,0.5,-0.41
29,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,8.3,2012-12-31T00:00:00,5,3.3
30,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.201,2012-12-31T00:00:00,0.4,-0.2
